,COMB,HNB,SAMP,LOLC,LOFC,NTB,LFIN,DFCC,NDB,SEYB,CFIN,PLC,COCR,PABC,VFIN,CFVF,HNBF,MERC,CALF,UBC,ABL,CDB,SFCL,GUAR,SFIN,JKH,MELS,HAYL,CTHR,CARS,VONE,HHL,BUKI,BIL,RICH,SUN,SPEN,CIC,GREG,TAP,BRWN,EBCR,CTC,DIST,CARG,LION,CCS,BREW,GRAN,LMF,LAMB,TAFL,DIAL,SLTL,ACL,RCL,GLAS,TKYO,HAYC,DIPD,KCAB,TJL,JAT,SIRA,MGT,SINS,UML,DIMO,LIOC,WIND,LLUB,LGL,VLL,CINS,UAL,JINS,AAIC,HASU,AEL,OSEA,PLR,RIL,CFLB,WATA,NAMU,CTEA,ASIR,LHCL,NHL,AHUN,PALM,KHL,AHPL,HUNA,EDEN,DOCK
COMB,0.08461852529896176,0.05740130850371622,0.05495208226381102,0.0524124005267123,0.051370154194036864,0.03989810231092385,0.03747659490341036,0.052856523508490315,0.05505001245239441,0.06267085727489753,0.03850398220274076,0.03619445502667539,0.04931761594537183,0.06261633607203225,0.05021803545374824,0.04122055382376915,0.03359967634442004,0.0010822556561144237,0.0042794941451518576,0.04051723339264521,0.031648855326043744,0.03356582638661427,-0.0009078549811531772,0.03948048643837967,0.03998849788845702,0.029178003628020092,0.03946818791464768,0.037437538848373364,0.0034975066601752904,0.021998231002141905,0.058237063613596755,0.02643042378011275,0.014625247631479467,0.054357342733907056,0.03331957827760133,0.03347455416884632,0.027460181502100476,0.04492472606419976,0.023583323238858672,0.042991804232551646,0.055415692313763205,0.02092635792948242,0.010833166852715884,0.028291884029781438,0.006994408080752024,0.006751239527520618,0.01854373111315614,-0.0012290151451206848,0.03135675688837433,0.027529821278024183,0.004525609914886348,0.028062355434096426,0.01892967783905001,0.020824498348509055,0.045905633265328614,0.04739794961923038,0.028222904191121567,0.04836938523220804,0.021818588539700312,0.03632491216130208,0.041069098665097684,0.027768229081296912,0.021991541951522236,0.04229605124559224,0.0368895455738428,0.036489489874769084,0.012364394491118562,0.02747449415380583,0.02902880977615331,0.00903770963547032,0.024583912405620682,0.03857324377776091,0.018233770666941766,0.0228545398228181,0.026228720848328436,0.03772467771096169,0.041621799178298016,0.02465255733754738,0.035395655266689745,0.02867685549252704,0.026128689980288625,0.038217922849105766,0.026563341716084585,0.03342568878223759,0.018926189531049645,0.0024354248294207693,0.021294938475888616,0.020431714907226492,0.01869084596672972,0.029395770838433047,0.020632972926720537,0.028925475878500004,0.021865825715043585,0.010480576399415813,0.023765414006079545,0.02567718367804989
HNB,0.05740130850371622,0.09147419758777457,0.0526272983410797,0.04353467559200461,0.04664243613843282,0.03911876771050575,0.032581423127113714,0.04539639710091711,0.053529051010219875,0.06492715583071784,0.04022629224910934,0.03532524371660196,0.04578252696499051,0.06189239139560697,0.04860378402432119,0.03667412518042624,0.03633410502558858,0.0013421895114356906,0.0017891817934848069,0.04073662290940671,0.03298953749227501,0.04823896725983664,0.003709453025439524,0.03181911196602735,0.035171839477728346,0.025677351824300337,0.038423514799914654,0.03733203953415996,0.00733077466027792,0.020307915949046258,0.0547596282084001,0.02614657171298053,0.01412776021444726,0.050705717544938377,0.02990032235984412,0.028224553999309728,0.025884369741740947,0.047263824101468135,0.02490687943689632,0.030923283240676867,0.04836626286891806,0.01877556554639981,0.01306059285831443,0.024999755658013944,0.008698148647575003,0.007069176354176344,0.016189467514530008,0.0006820353635626686,0.03275145686698525,0.028451072917823315,0.0020963942354367718,0.02536950162114152,0.01840194370310972,0.021226252187853293,0.04262186407761639,0.048994368316404566,0.028314602607667202,0.05105227488459611,0.021351641258390664,0.03525671519640357,0.03950207642738913,0.02615323134326738,0.0177943080239548,0.038119663660455626,0.03319980886760775,0.03496935092794423,0.011961954130826884,0.019804173250962134,0.031762385279903875,0.007331228257310539,0.02310403841209726,0.050505608582668574,0.02696598477889721,0.03448525240198385,0.018014843274267365,0.03476860922551084,0.031085641962660435,0.02324260738704256,0.03530335914395387,0.02797093336639515,0.020117301019825642,0.033458186908182454,0.027577897948657972,0.028235480788326068,0.015793223418751192,0.00046990760377923926,0.02098297097024184,0.018101536131459015,0.017235796389839613,0.03181464917306571,0.01929730286409512,0.023832796909436602,0.02234265075567632,0.006754069784544173,0.026773981991212576,0.0274944714193403
SAMP,0.05495208226381102,0.0526272983410797,0.09901574190999027,0.054178727181173024,0.05522034968109187,0.04194605895346386,0.038431892661954924,0.055148405400922,0.06164164995092857,0.05884453573165804,0.042307156274772155,0.04104238141317502,0.055083666590299375,0.07920739472266987,0.052722385253019276,0.0483188079532126,0.040576632546670474,-0.00036707838243557655,0.0014080056976584505,0.05225066879050746,0.04354541810065522,0.008471404386594156,-0.004153128325871768,0.037534265837322035,0.03546625805810005,0.026708219891891982,0.04448624777928278,0.04559435452462947,0.005187101865836084,0.01670542516020699,0.06872859372133364,0.02585652528974791,0.012156375844679572,0.0633227288786814,0.0316951779738356,0.03659994880371765,0.025970211244952263,0.030014523685767545,0.023201939946319725,0.046985743632158,0.05890927508979428,0.03520758177314833,0.014343770351303973,0.0298849715742762,0.007393602410315682,0.007459393604772128,0.02002227833777042,0.007539831744724248,0.03513959914511491,0.03639278497639274,-0.0003509003958484709,0.03031707012196972,0.020961063095853626,0.024396301838658117,0.05626796948096166,0.05400347913828188,0.0308624231943987,0.04652482490366963,0.026640846760454424,0.039765389882248585,0.04660472977150174,0.02803694563369984,0.024602863955751446,0.04314621997935626,0.03893479123634869,0.035020404955328974,0.010702428689095387,0.02382120981891355,0.038762934968840874,0.013320350987244453,0.02719902391628425,0.019045155245407126,0.006325716325806237,-0.0009329701577718362,0.026841285593624694,0.040442717354986994,0.04814012461792667,0.027454028402015388,0.038135259643189534,0.03552237839777669,0.028763481599568784,0.038793715020662235,0.04187868378017644,0.03773436770590431,0.027668265082561826,0.004462997221338022,0.02506571469178473,0.018244845525657163,0.025999891177225922,0.03794884686136863,0.02620995229945211,0.03272545672919081,0.022141768484113828,0.017471247980312417,0.03202367629821717,0.02817882055539378
LOLC,0.0524124005267123,0.04353467559200461,0.054178727181173024,0.27490398150056566,0.2071261062857199,0.03419313491162036,0.08717146027985041,0.04410290229018106,0.055735970035073995,0.048424040919618314,0.06472003869553793,0.04521324321891722,0.09461916186986236,0.06714489185211463,0.11188400788487904,0.05325222514250253,0.0555026785578007,0.0002190156125454,0.00619996352263424,0.060692856644677995,0.04867774618836895,0.02332589163116698,0.00901574847981093,0.06293857139991167,0.05020805542232541,0.04286958077426409,0.08642512170315741,0.11828149884608835,0.006908532297623489,0.03701307824751036,0.16085863054612737,0.050601683113019325,0.03644932278328729,0.19338917088162552,0.07583621951567084,0.10044119409490111,0.059325606600331995,0.06961687879457788,0.05829493280423925,0.097484208831426,0.21255849058853377,0.05566484659026765,0.0268583989678539,0.04346365855684964,0.015097273467039336,0.009500462482620224,0.02748858337293406,0.00749152188987875,0.06581501168114952,0.07883419552079692,0.011759014942920023,0.06568160047952223,0.023658782658973275,0.06316702760357656,0.1241457949972977,0.14966339045012686,0.06897288122084824,0.08001683787764619,0.08580079713205979,0.10622014486792561,0.12652303787139604,0.05393062678136809,0.05947959207608718,0.10305238226479495,0.09729191713628439,0.08072403086136518,0.02803808426018319,0.05845352499212866,0.10499487359215486,0.024649523310051477,0.061381046210456015,0.05314819507694658,0.021620201280703445,9.065619335045676e-05,0.06490079247181274,0.05648240247155859,0.11629570019606746,0.057624005984890564,0.07677008569323407,0.07178267876172369,0.0640526913806875,0.07805107859691808,0.0831017616593871,0.1000399042860291,0.0753902833048576,-0.007278955446383083,0.04258911836324155,0.03569350501985882,0.04517470537418829,0.05615764653251465,0.05971678129325368,0.05377821822311178,0.044628233665952116,0.0255318801043215,0.07617279619180889,0.03332275046770923
LOFC,0.051370154194036864,0.04664243613843282,0.05522034968109187,0.2071261062857199,0.5046956936730111,0.03999492278880894,0.07826274067934934,0.042444683080848596,0.06009265435266925,0.055803958037793595,0.06469741699094696,0.057525332508481186,0.0959589841401791,0.08502611912500717,0.10239825995760907,0.07204500748731284,0.06589111030913837,8.199812924063707e-05,0.0034068882351640647,0.07393975842839233,0.06587481522075846,0.01928914468293735,0.016750689013139114,0.056102104362458834,0.05257417855816829,0.03363101001978134,0.09192303748679646,0.10711945911124973,0.00753310887272634,0.036796435972833864,0.1606379107172237,0.0483477709206821,0.03112227070488746,0.2310255806088069,0.08472725796115152,0.11475218295473819,0.049673519489312264,0.08621764997543992,0.06929092418256438,0.14333780745179608,0.20056828510274963,0.06280304137186893,0.02792546997884921,0.05408263351853799,0.01815017875915188,0.009538076790206618,0.03414961837959485,-0.017125961050305328,0.08683362545221164,0.08923179487868696,0.007879592429388146,0.07830413191716719,0.02373527526457704,0.06867488686760251,0.14363161867976654,0.13881206283784617,0.08423134778088517,0.10364758992577795,0.0673881882955518,0.10094349501334136,0.14629559016973573,0.05065368621957707,0.06235985080923558,0.11334742249517835,0.09830829850031547,0.08588478511334853,0.030937703605731164,0.052847465822243735,0.11296479231286294,0.026766684094635628,0.06760658323509613,0.05350091318737665,0.02316658422769746,-0.012774247031767367,0.05049270145267369,0.0705474221564734,0.15274402020305927,0.05564970660188633,0.08923882457235936,0.07316400041935851,0.07811509692496293,0.1027922000699887,0.08572638618544669,0.12166727648132951,0.08327835937817818,-0.01157062964701833,0.05855690469892579,0.057525892506780564,0.053961609952761586,0.054502411089388185,0.07194167679997407,0.058379648960661036,0.032115016423371265,0.02505369606051002,0.0970085133711324,0.034517324170907526
NTB,0.03989810231092385,0.03911876771050575,0.04194605895346386,0.03419313491162036,0.03999492278880894,0.08463891166580836,0.028873841700736952,0.04578749206125618,0.045142580387781156,0.038736743417327,0.030819368661669,0.03340375811169151,0.043284883130225826,0.049427187663614085,0.03880328811011543,0.03761951761440102,0.033950978576277394,-0.0017725356558043203,0.006538887105018724,0.03010592640599706,0.026719280716165916,0.019215314967139543,0.0023238251945198432,0.03731141476913282,0.0331672053814628,0.022084917240215125,0.031899936298540134,0.031002824479588433,0.007778794002000019,0.020255356078573004,0.045887667739269736,0.025265388043835782,0.010714099753569808,0.03688489831463402,0.02330530136731559,0.026197196508575434,0.023477269994425128,0.025304230231322163,0.021430577194490007,0.03182831012438035,0.03482641327396063,0.028989830613337757,0.012359810457923389,0.023264005026794998,0.006500358687172165,0.010877691151579926,0.015790949995078775,0.002940046596099795,0.022300959385733704,0.027370621206793545,0.004879614557366273,0.014171259250017311,0.015183759074836146,0.012291951053050934,0.03189113999750973,0.03322732554607529,0.022229615623201297,0.036334960123382075,0.01621640617790293,0.02448801808521462,0.027764198703686942,0.020882580696751925,0.01787079676054183,0.03376278213126622,0.031335970561476606,0.03289737738056535,0.013909655443267551,0.024616151950573616,0.036273523217807975,0.006604476528434482,0.023130560902794584,0.022956149196007213,0.012935614945002602,0.01337987375970727,0.013207633087996409,0.0276598917982601,0.029724697534230154,0.02069909079717027,0.03089406388032615,0.02136756748088306,0.02571536123301473,0.0345692762162602,0.02576504606367945,0.02102052584044134,0.01736241354203784,0.006552724750831185,0.015376041558574267,0.015271629087505264,0.0099324601642964,0.018346116046597062,0.026164428895912518,0.02377461167130339,0.02303084597550389,0.005202076415287836,0.027725542700767443,0.015986702902355397
LFIN,0.03747659490341036,0.032581423127113714,0.038431892661954924,0.08717146027985041,0.07826274067934934,0.028873841700736952,0.1401873458449925,0.032903673088234685,0.04237574866933174,0.04226110216721464,0.05302649380086926,0.036546187596839814,0.06972384907272272,0.05759445531609834,0.12965520768028072,0.040001291096443535,0.03577402051764384,0.005542302516895971,0.010068554790805423,0.04074344656300208,0.02477317003615981,0.02614963071132658,0.002080512784728377,0.03459234313676557,0.04129849641788678,0.020132865711602152,0.04720378994213631,0.07127668864928809,0.006504633399119271,0.027186721209730733,0.10863051276900793,0.028838883826067693,0.01874970696160165,0.07161590735323753,0.03950667161790161,0.05444833440057188,0.03678834123290627,0.04275446908452793,0.02885260546754482,0.04687078987884241,0.08767228961639378,0.03253708350531936,0.017375551049814943,0.027922461420338846,0.011387478833671428,0.00567962476206503,0.020995856518711147,-0.0016708813372024313,0.04073153528947402,0.04670473775866899,0.00962199185358808,0.02789130144606362,0.01611868228388281,0.026645275216618268,0.05924523564067599,0.09549577058160204,0.032971836059679176,0.0509769711591662,0.05274853119036554,0.06104546597055481,0.055521645403168784,0.034828042766047784,0.03063311864733967,0.06517284538885727,0.058040056971156585,0.06086229082177383,0.020392911737958465,0.03627836333508513,0.044683883550303165,0.017701997269884456,0.03743072083223822,0.04351513981642662,0.014811692064079595,0.0009863055996087618,0.03096149350889668,0.03225481020876853,0.053098302976763816,0.03460850110277571,0.04395991540717176,0.04709858918301685,0.026532902101042137,0.050837535836694404,0.03422846155627135,0.04588163882238128,0.030669654140368995,0.0027085545957096033,0.025299718229789,0.02537451811571032,0.023797247568945582,0.029409356567094938,0.03869950714165623,0.02748114541326917,0.024747508331552454,0.008284774149699055,0.039177991847505304,0.026983159986067533
DFCC,0.052856523508490315,0.04539639710091711,0.055148405400922,0.04410290229018106,0.042444683080848596,0.04578749206125618,0.032903673088234685,0.11505710913713174,0.06303852527817695,0.05163012233087782,0.042182922941198096,0.03882074002563583,0.04999179352777631,0.06258694005804102,0.049948063647285275,0.04319126530129969,0.03530106567087974,-0.00020935776421189214,0.0036748729905103847,0.043429756150093146,0.03752030380882179,0.0035911167676183292,0.0019902290819238527,0.04278140642407584,0.04676687402067414,0.0254089608440127,0.0447854228659403,0.0391651236433754,0.006490918362788679,0.024101296723145857,0.055877231821754796,0.028401389767224224,0.01565024387347048,0.05023195865620737,0.029500765012219043,0.029906200441519117,0.026815032289790076,0.02903995138817903,0.03329464350755561,0.04047987309884789,0.048172653423471046,0.017983550345091512,0.014692615871448805,0.032234595861061276,0.008489108348458032,0.009422498957903303,0.018868709132956716,0.0002642852058597158,0.031528359820029925,0.03629342028268869,0.004270780182603374,0.02494567236389798,0.01803853228283747,0.017752923422812632,0.03702068098935989,0.04239332548605102,0.032492365055866994,0.03678172448360418,0.02575035191938787,0.036991458665088246,0.031620022205050134,0.02883786497256584,0.023459053013406058,0.04057263029796575,0.041112362302302106,0.03970943345562428,0.01090435919102809,0.017552083540804155,0.028547689765956435,0.007327339025187753,0.022275248446895688,0.030887850569154038,0.005784419280063758,0.002331513658769127,0.0238677122520707,0.03597809460441824,0.033691604830472115,0.025271106594924726,0.035705187658291164,0.02655088870472503,0.025213752558850354,0.032439947670176265,0.02582346660087759,0.028649490523279312,0.02250206506404712,0.003141257173315803,0.02275393369091798,0.014611954359047684,0.014001989559460958,0.029085919625453933,0.03022479351512757,0.03511564404729763,0.025104093429160663,0.013881316233195736,0.031743799358487285,0.033357563410152495
NDB,0.05505001245239441,0.053529051010219875,0.06164164995092857,0.055735970035073995,0.06009265435266925,0.045142580387781156,0.04237574866933174,0.06303852527817695,0.10846953800909635,0.06223848803434088,0.048538431873614056,0.04479803787205438,0.057525199912290874,0.07432309225177719,0.054628584156963006,0.04521580396850265,0.037027976260452775,0.0010398701910120376,0.00835038689412072,0.04600945912814006,0.04257150257760319,0.012807231910197857,0.006811233524119307,0.047321019000273606,0.04455298756942115,0.03225126647470117,0.04513445024655169,0.05048104225554491,0.008463364074096268,0.025628606302893483,0.06803738534652976,0.03075996829298488,0.022523366815271964,0.05822617508186549,0.043938824087570744,0.03789550019280786,0.026380766398152015,0.038432010219486966,0.03034171685256023,0.045977049429107644,0.06582120150260186,0.026871428376048074,0.015732561134174615,0.03553546190001324,0.006559830551462362,0.007417539227148044,0.02373359300657921,0.004056767849831189,0.03986178444609272,0.03365154519541053,0.006768891328425096,0.031075588354162374,0.02577333616190655,0.027434879051848736,0.05411707613849347,0.05734263071416143,0.036586621745722074,0.0514325224134436,0.029403362988400433,0.04303973638168243,0.047933837556341195,0.030861270416201084,0.023006182998231543,0.05361860564025608,0.04150150612354095,0.044717294017745865,0.014538731652632562,0.02612013209113572,0.03847650703286998,0.013459633730387348,0.029628789472209448,0.03087022884131978,0.011328831970371437,0.0020512702810538803,0.025101241679104536,0.045395865864704274,0.0415058206064956,0.030842468264883707,0.04266369688407912,0.03551983255339314,0.032750595155698586,0.04476116496958884,0.04521578351766017,0.03444939460401689,0.03196655089321811,0.0013952855237823957,0.021846857935054094,0.020823953451015023,0.027782432515357544,0.03334720240353102,0.028539064555754053,0.029899156066319484,0.02466326143274482,0.01009402473385344,0.03500522439893706,0.03189754604382209
SEYB,0.06267085727489753,0.06492715583071784,0.05884453573165804,0.048424040919618314,0.055803958037793595,0.038736743417327,0.04226110216721464,0.05163012233087782,0.06223848803434088,0.16286008246529612,0.039737408720856834,0.043344189347574405,0.06273565608135709,0.08087207738741653,0.04655184384275726,0.0476888913248293,0.03647090043541692,-0.0013986598485970724,-0.002336406029709531,0.056134224679567864,0.03701058116515376,0.049361814818900195,-0.0024113915954029888,0.028538580557099277,0.045174988031068904,0.026351873636098377,0.04059961479864508,0.04111576410198154,0.002415145524936129,0.016461575893232494,0.06533664032687396,0.025926180019531665,0.015464567152745204,0.05489011551434553,0.03909028165962916,0.03263276694437984,0.03015291789211321,0.060302149184430644,0.02282150500544291,0.03776588912426898,0.06639526215928156,0.03613192112463338,0.009938625099619512,0.035590907712572395,0.007390812104877423,0.0014708552287736561,0.017610127925123526,0.00027457326361360443,0.044321879774732426,0.03341719558397323,0.0024309508463974594,0.034503408238266545,0.020402376440805284,0.02734294435263486,0.06141974123249226,0.047516100292011,0.02774083413426405,0.0680375990992954,0.029324903488706786,0.04814061796868428,0.04314105339808055,0.029902492675395992,0.016944583253404834,0.05145901647595959,0.0372504753040386,0.04402821824762707,0.009563639547580719,0.02811072955667258,0.030682964177328763,0.01079503216954922,0.03181586789993604,0.05350377965605286,0.026904981559763157,0.03912363964448477,0.019978481073240923,0.044129951758257624,0.057569881790495374,0.024585711253812204,0.05066526405080669,0.034967265912230705,0.030026620405296994,0.043868532953213205,0.04091943131024968,0.04130244635944977,0.016755502922947894,0.011692415756140905,0.03082442191935346,0.024579075655056924,0.03504581763224236,0.0424556257488301,0.03039910146571519,0.035103079272591195,0.021895321698885077,0.012493563143456923,0.027534912612188336,0.03595881240981039
